ANO;UNIDADE DA FEDERAÇÃO;PREÇOS MÉDIOS DE REFERÊNCIA DO PETRÓLEO;UNIDADE
2014;Alagoas;243,07;R$/barril
2015;Alagoas;172,8473756;R$/barril
2016;Alagoas;143,0269852;R$/barril
2017;Alagoas;161,5202051;R$/barril
2018;Alagoas;248,4909887;R$/barril
2019;Alagoas;239,8600892;R$/barril
2020;Alagoas;210,1359368;R$/barril
2021;Alagoas;338,9018597;R$/barril
2022;Alagoas;493,0250545;R$/barril
2023;Alagoas;398,6992813;R$/barril
2014;Alagoas;105,35;US$/barril
2015;Alagoas;55,29552998;US$/barril
2016;Alagoas;40,07602319;US$/barril
2017;Alagoas;50,42372118;US$/barril
2018;Alagoas;69,79250755;US$/barril
2019;Alagoas;61,58153765;US$/barril
2020;Alagoas;42,33510469;US$/barril
2021;Alagoas;63,4572416;US$/barril
2022;Alagoas;94,41879621;US$/barril
2023;Alagoas;78,88084386;US$/barril
2014;Amazonas;243,63;R$/barril
2015;Amazonas;178,1098684;R$/barril
2016;Amazonas;152,1877003;R$/barril
2017;Amazonas;168,00992;R$/barril
2018;Amazonas;257,6301134;R$/barril
2019;Amazonas;248,84;R$/barril
2020;Amazonas;219,2955558;R$/barril
2021;Amazonas;359,7426267;R$/barril
2022;Amazonas;543,2390374;R$/barril
2023;Amazonas;446,6399582;R$/barril
2014;Amazonas;105,59;US$/barril
2015;Amazonas;56,97905182;US$/barril
2016;Amazonas;42,64284672;US$/barril
2017;Amazonas;52,44969421;US$/barril
2018;Amazonas;72,35937098;US$/barril
2019;Amazonas;63,88760344;US$/barril
2020;Amazonas;44,1804503;US$/barril
2021;Amazonas;67,35954413;US$/barril
2022;Amazonas;104,0352321;US$/barril
2023;Amazonas;88,36568929;US$/barril
2014;Bahia;236,55;R$/barril
2015;Bahia;165,3766271;R$/barril
2016;Bahia;134,47368;R$/barril
2017;Bahia;156,5120224;R$/barril
2018;Bahia;245,1250671;R$/barril
2019;Bahia;235,7971289;R$/barril
2020;Bahia;208,698989;R$/barril
2021;Bahia;334,8077661;R$/barril
2022;Bahia;481,0484166;R$/barril
2023;Bahia;393,4981041;R$/barril
2014;Bahia;102,52;US$/barril
2015;Bahia;52,90556603;US$/barril
2016;Bahia;37,67939534;US$/barril
2017;Bahia;48,86025606;US$/barril
2018;Bahia;68,8471368;US$/barril
2019;Bahia;60,53841562;US$/barril
2020;Bahia;42,04560953;US$/barril
2021;Bahia;62,69064832;US$/barril
2022;Bahia;92,12516077;US$/barril
2023;Bahia;77,85181455;US$/barril
2014;Ceará;217,43;R$/barril
2015;Ceará;143,8144746;R$/barril
2016;Ceará;115,9055237;R$/barril
2017;Ceará;146,6327729;R$/barril
2018;Ceará;234,9848403;R$/barril
2019;Ceará;229,3598536;R$/barril
2020;Ceará;201,2241747;R$/barril
2021;Ceará;292,1210758;R$/barril
2022;Ceará;368,2333977;R$/barril
2023;Ceará;296,3520895;R$/barril
2014;Ceará;94,24;US$/barril
2015;Ceará;46,00762705;US$/barril
2016;Ceará;32,47661585;US$/barril
2017;Ceará;45,77613093;US$/barril
2018;Ceará;65,99909851;US$/barril
2019;Ceará;58,88571337;US$/barril
2020;Ceará;40,53969364;US$/barril
2021;Ceará;54,69783405;US$/barril
2022;Ceará;70,52005535;US$/barril
2023;Ceará;58,63191633;US$/barril
2014;Espírito Santo;227,77;R$/barril
2015;Espírito Santo;156,9248194;R$/barril
2016;Espírito Santo;113,1020692;R$/barril
2017;Espírito Santo;139,5713772;R$/barril
2018;Espírito Santo;223,1313641;R$/barril
2019;Espírito Santo;215,0867491;R$/barril
2020;Espírito Santo;184,1492172;R$/barril
2021;Espírito Santo;318,2109831;R$/barril
2022;Espírito Santo;445,0768924;R$/barril
2023;Espírito Santo;355,7104424;R$/barril
2014;Espírito Santo;98,72;US$/barril
2015;Espírito Santo;50,20175185;US$/barril
2016;Espírito Santo;31,69109061;US$/barril
2017;Espírito Santo;43,57168942;US$/barril
2018;Espírito Santo;62,66986782;US$/barril
2019;Espírito Santo;55,22124496;US$/barril
2020;Espírito Santo;37,0996818;US$/barril
2021;Espírito Santo;59,58300509;US$/barril
2022;Espírito Santo;85,2362857;US$/barril
2023;Espírito Santo;70,37569713;US$/barril
2014;Maranhão;249,01;R$/barril
2015;Maranhão;189,8396302;R$/barril
2016;Maranhão;166,7666753;R$/barril
2017;Maranhão;161,5627004;R$/barril
2018;Maranhão;250,3135709;R$/barril
2019;Maranhão;238,9900989;R$/barril
2020;Maranhão;222,5178307;R$/barril
2021;Maranhão;374,8626906;R$/barril
2022;Maranhão;630,8814039;R$/barril
2023;Maranhão;512,5674391;R$/barril
2014;Maranhão;107,92;US$/barril
2015;Maranhão;60,7315149;US$/barril
2016;Maranhão;46,72786144;US$/barril
2017;Maranhão;50,43698746;US$/barril
2018;Maranhão;70,30440774;US$/barril
2019;Maranhão;61,35817686;US$/barril
2020;Maranhão;44,82962696;US$/barril
2021;Maranhão;70,190681;US$/barril
2022;Maranhão;120,8195449;US$/barril
2023;Maranhão;101,4091423;US$/barril
2014;Paraná;209,48;R$/barril
2015;Paraná;135,8815428;R$/barril
2016;Paraná;92,94449558;R$/barril
2017;Paraná;116,1919259;R$/barril
2018;Paraná;174,662553;R$/barril
2019;Paraná;176,6894491;R$/barril
2020;Paraná;155,8845623;R$/barril
2021;Paraná;277,4482797;R$/barril
2022;Paraná;329,3233509;R$/barril
2023;Paraná;218,109035;R$/barril
2014;Paraná;90,79;US$/barril
2015;Paraná;43,46980623;US$/barril
2016;Paraná;26,04295794;US$/barril
2017;Paraná;36,27304259;US$/barril
2018;Paraná;49,05665842;US$/barril
2019;Paraná;45,36314483;US$/barril
2020;Paraná;31,40533392;US$/barril
2021;Paraná;51,95044527;US$/barril
2022;Paraná;63,06842638;US$/barril
2023;Paraná;43,151883;US$/barril
2014;Rio de Janeiro;215,23;R$/barril
2015;Rio de Janeiro;144,7064417;R$/barril
2016;Rio de Janeiro;99,99241888;R$/barril
2017;Rio de Janeiro;123,442456;R$/barril
2018;Rio de Janeiro;196,737279;R$/barril
2019;Rio de Janeiro;224,9444774;R$/barril
2020;Rio de Janeiro;198,5018575;R$/barril
2021;Rio de Janeiro;330,3617389;R$/barril
2022;Rio de Janeiro;466,3154101;R$/barril
2023;Rio de Janeiro;377,9003876;R$/barril
2014;Rio de Janeiro;93,28;US$/barril
2015;Rio de Janeiro;46,29297586;US$/barril
2016;Rio de Janeiro;28,01777925;US$/barril
2017;Rio de Janeiro;38,53652847;US$/barril
2018;Rio de Janeiro;55,25668396;US$/barril
2019;Rio de Janeiro;57,75211229;US$/barril
2020;Rio de Janeiro;39,99124113;US$/barril
2021;Rio de Janeiro;61,85815769;US$/barril
2022;Rio de Janeiro;89,30365562;US$/barril
2023;Rio de Janeiro;74,76587712;US$/barril
2014;Rio Grande do Norte;227,9;R$/barril
2015;Rio Grande do Norte;174,9823087;R$/barril
2016;Rio Grande do Norte;94,85017468;R$/barril
2017;Rio Grande do Norte;116,9361069;R$/barril
2018;Rio Grande do Norte;192,8118705;R$/barril
2019;Rio Grande do Norte;219,0185087;R$/barril
2020;Rio Grande do Norte;182,3286217;R$/barril
2021;Rio Grande do Norte;319,948203;R$/barril
2022;Rio Grande do Norte;448,1349642;R$/barril
2023;Rio Grande do Norte;364,8947476;R$/barril
2014;Rio Grande do Norte;98,77;US$/barril
2015;Rio Grande do Norte;47,51580374;US$/barril
2016;Rio Grande do Norte;26,57692739;US$/barril
2017;Rio Grande do Norte;36,50536259;US$/barril
2018;Rio Grande do Norte;54,15417274;US$/barril
2019;Rio Grande do Norte;56,23068259;US$/barril
2020;Rio Grande do Norte;36,73289493;US$/barril
2021;Rio Grande do Norte;59,90828859;US$/barril
2022;Rio Grande do Norte;85,82193434;US$/barril
2023;Rio Grande do Norte;72,19277025;US$/barril
2014;Sergipe;220,39;R$/barril
2015;Sergipe;146,7600899;R$/barril
2016;Sergipe;103,1182179;R$/barril
2017;Sergipe;122,8312563;R$/barril
2018;Sergipe;197,5538422;R$/barril
2019;Sergipe;222,9926468;R$/barril
2020;Sergipe;188,1167256;R$/barril
2021;Sergipe;320,0286444;R$/barril
2022;Sergipe;467,7526211;R$/barril
2023;Sergipe;364,6787136;R$/barril
2014;Sergipe;95,52;US$/barril
2015;Sergipe;46,94995757;US$/barril
2016;Sergipe;28,89362512;US$/barril
2017;Sergipe;38,34572285;US$/barril
2018;Sergipe;55,48602828;US$/barril
2019;Sergipe;57,25100047;US$/barril
2020;Sergipe;37,89899717;US$/barril
2021;Sergipe;59,92335074;US$/barril
2022;Sergipe;89,57889464;US$/barril
2023;Sergipe;72,1500289;US$/barril
2014;São Paulo;235,19;R$/barril
2015;São Paulo;158,1226827;R$/barril
2016;São Paulo;111,7417504;R$/barril
2017;São Paulo;127,6113616;R$/barril
2018;São Paulo;203,1789716;R$/barril
2019;São Paulo;226,9981629;R$/barril
2020;São Paulo;196,2938227;R$/barril
2021;São Paulo;332,1715069;R$/barril
2022;São Paulo;468,3471967;R$/barril
2023;São Paulo;383,4927992;R$/barril
2014;São Paulo;101,93;US$/barril
2015;São Paulo;50,58495979;US$/barril
2016;São Paulo;31,30993061;US$/barril
2017;São Paulo;39,83798632;US$/barril
2018;São Paulo;57,06593219;US$/barril
2019;São Paulo;58,27937431;US$/barril
2020;São Paulo;39,54639868;US$/barril
2021;São Paulo;62,19702536;US$/barril
2022;São Paulo;89,69276129;US$/barril
2023;São Paulo;75,87231038;US$/barril
